"Age-adjusted Non-Opioid Mortality Rates† , Counts, and Percentages, by Race, Philadelphia, PA 2010-2020",,,,,,,,,,,,
,Non-Hispanic White,,,Non-Hispanic Black,,,Hispanic (any race),,,Other,,
Year,"Ageadjusted Rate per 100,000 residents",N,Percent,"Ageadjusted Rate per 100,000 residents",N,Percent,"Ageadjusted Rate per 100,000 residents",N,Percent,"Ageadjusted Rate per 100,000 residents",N,Percent
2010,2.9,24,26.70%,8.3,54,60.00%,-,12,13.30%,0,0,0.00%
2011,3.1,32,32.00%,9.5,62,62.00%,*,*,*,0,0,0.00%
2012,2.2,20,22.20%,8.7,60,66.70%,-,9,10.00%,*,*,*
2013,4.3,35,34.00%,7.9,58,56.30%,-,*,*,*,*,*
2014,3.4,33,24.80%,12.1,83,62.40%,-,14,10.50%,*,*,*
2015,6.2,47,33.30%,11.7,82,58.20%,-,11,7.80%,*,*,*
2016,5.7,41,26.50%,14.1,100,64.50%,-,13,8.40%,*,*,*
2017,5.5,41,28.90%,13.2,93,65.50%,-,7,4.90%,*,*,*
2018,6.6,50,28.20%,15.8,108,61.00%,-,17,9.60%,*,*,*
2019,6.9,47,25.10%,16,117,62.60%,-,18,9.60%,*,*,*
2020,5.3,36,20.80%,18,119,68.80%,-,14,8.10%,*,*,*
