"Non-Opioid-Related Overdose Mortality Rate*, Count, Percent by Sex, Philadelphia, 2010-2020",,,,,,,,
,Females,,,Males,,,,
Year,"Age-adjusted Rate per 100,000 residents",N,Percent,"Age-adjusted Rate per 100,000 residents",N,Percent,,
2010,3.5,29,32.20%,7.7,61,67.80%,,
2011,3.2,30,30.00%,8.4,70,70.00%,,
2012,2.5,25,27 .8%,7. 6,65,72.20%,,
2013,3.7,34,33.00%,7. 8,69,67 .0%,,
2014,4.4,38,28.60%,11.1,95,71.40%,,
2015,5.6,50,35.50%,10.5,91,64.50%,,
2016,4.7,46,29.70%,12.3,109,70.30%,,
2017,5.1,51,35.90%,10.5,91,64.10%,,
2018,5.9,51,28.80%,14.2,126,71.20%,,
2019,6,58,31.00%,14.5,129,69.00%,,
2020,4.9,43,24.90%,16.1,130,75.10%,,
