Zip Code,2019 Number of Deaths,2020 Number of Deaths,2021 Number of Deaths
19102,6-24,Suppressed,Suppressed
19103,Suppressed,6-24,6-24
19104,6-24,25-49,6-24
19106,Suppressed,6-24,6-24
19107,6-24,6-24,6-24
19111,6-24,25-49,25-49
19112,Suppressed,Suppressed,Suppressed
19114,6-24,6-24,6-24
19115,6-24,6-24,6-24
19116,6-24,6-24,6-24
19118,Suppressed,Suppressed,Suppressed
19119,Suppressed,6-24,6-24
19120,25-49,25-49,25-49
19121,25-49,6-24,6-24
19122,6-24,6-24,6-24
19123,6-24,6-24,6-24
19124,50-99,50-99,50-99
19125,25-49,6-24,6-24
19126,6-24,Suppressed,6-24
19127,Suppressed,Suppressed,Suppressed
19128,6-24,6-24,6-24
19129,Suppressed,6-24,Suppressed
19130,6-24,6-24,6-24
19131,6-24,25-49,25-49
19132,25-49,50-99,50-99
19133,50-99,50-99,50-99
19134,100+,100+,100+
19135,25-49,25-49,25-49
19136,25-49,25-49,25-49
19137,6-24,6-24,6-24
19138,6-24,6-24,6-24
19139,25-49,25-49,25-49
19140,50-99,50-99,50-99
19141,6-24,6-24,6-24
19142,6-24,6-24,6-24
19143,25-49,25-49,25-49
19144,6-24,25-49,25-49
19145,25-49,25-49,25-49
19146,25-49,6-24,6-24
19147,6-24,6-24,6-24
19148,25-49,25-49,25-49
19149,6-24,6-24,6-24
