"Age-adjusted Non-Opiod Mortality Rates, Count, and Percentages, by Race, Philadelphia, 2010-2021",,,,,,,,,,,,
,Non-Hispanic White,,,Non-Hispanic Black,,,Hispanic (any race),,,Other,,
Year,"Age Specific Rate per 100,000 residents",N,Percent,"Age Specific Rate per 100,000 residents",N,Percent,"Age Specific Rate per 100,000 residents",N,Percent,"Age Specific Rate per 100,000 residents",N,Percent
2010,2.8,24,26.70%,8.3,54,60.00%,0,12,13.30%,0,0,0
2011,3,32,32.00%,9.3,62,62.00%,0,6,6.00%,0,0,0
2012,2.1,20,22.20%,8.4,60,66.70%,0,9,10.00%,0,0,0
2013,4.7,35,34.00%,7.6,58,56.30%,0,6,5.80%,0,0,0
2014,3.6,33,24.80%,12.1,83,62.40%,0,14,10.50%,0,0,0
2015,6.1,47,33.30%,11.7,82,58.20%,0,11,7.80%,0,0,0
2016,5.2,41,26.50%,13.5,100,64.50%,0,13,8.40%,0,0,0
2017,5.3,41,28.90%,12.8,93,65.50%,0,7,4.90%,0,0,0
2018,6.2,50,28.30%,15.4,108,61.00%,0,17,9.60%,0,0,0
2019,6.5,47,25.10%,15.4,117,62.60%,0,18,9.60%,0,0,0
2020,5,36,20.80%,17.4,119,68.80%,0,14,8.10%,0,0,0
2021,9.3,65,29.00%,20,143,63.80%,0,13,5.80%,0,0,0
