"Age-adjusted Opiod Mortality Rates, Count, and Percentages, by Race, Philadelphia, 2010-2021",,,,,,,,,,,,
,Non-Hispanic White,,,Non-Hispanic Black,,,Hispanic (any race),,,Other,,
Year,"Age Specific Rate per 100,000 residents",N,Percent,"Age Specific Rate per 100,000 residents",N,Percent,"Age Specific Rate per 100,000 residents",N,Percent,"Age Specific Rate per 100,000 residents",N,Percent
2010,31,198,66.70%,11.3,76,25.60%,13.1,23,7.70%,0,0,0
2011,36.2,246,63.20%,13.2,83,21.30%,28.8,56,14.40%,0,0,0
2012,43,280,66.20%,15.1,99,23.40%,21.6,41,9.70%,0,0,0
2013,33.9,238,66.70%,10.7,68,19.10%,21.9,47,13.20%,0,0,0
2014,45.2,312,63.00%,16,112,22.60%,31.4,67,13.50%,0,0,0
2015,48.9,343,61.10%,21.9,145,25.90%,35.2,71,12.70%,0,0,0
2016,64.7,468,62.20%,25.4,169,22.50%,43,101,13.40%,0,14,1.90%
2017,96.3,679,63.20%,34,228,21.20%,64.7,153,14.20%,0,15,1.40%
2018,76.1,562,59.90%,32.7,239,25.50%,57,130,13.80%,0,8,0.90%
2019,73.5,519,53.90%,39.8,267,27.70%,69.7,165,17.10%,0,12,1.30%
2020,67.5,475,45.60%,54.2,378,36.30%,71.3,171,16.40%,0,17,1.60%
2021,71.4,459,43.60%,59.9,399,37.90%,74.4,177,16.80%,0,17,1.60%
