"Distinct Counts of Stimulant Prescriptions, Prescribers, and Patients, Philadelphia, 2017-2021",,,
Quarter,Total Prescriptions,Number of Distinct Prescribers,Number of Distinct Patients
2017 Q1,"59,355","1,905","28,467"
2017 Q2,"63,698","1,962","28,979"
2017 Q3,"59,207","1,957","27,318"
2017 Q4,"62,134","1,964","27,764"
2018 Q1,"64,284","1,968","29,187"
2018 Q2,"65,954","2,001","29,554"
2018 Q3,"61,713","2,039","27,707"
2018 Q4,"64,173","2,039","28,046"
2019 Q1,"66,857","2,015","30,204"
2019 Q2,"67,469","2,018","30,042"
2019 Q3,"61,673","2,028","28,006"
2019 Q4,"64,956","2,054","28,459"
2020 Q1,"65,747","2,026","29,336"
2020 Q2,"58,411","1,966","26,409"
2020 Q3,"61,080","2,025","27,401"
2020 Q4,"62,397","1,996","27,420"
2021 Q1,"64,239","1,994","28,728"
2021 Q2,"66,352","2,018","29,650"
2021 Q3,"66,130","2,107","29,493"
2021 Q4,"65,754","2,050","29,009"
