"Rates† , Count, and Column Percentages of Non-Opioid Overdose-Related Deaths by Age Category, Philadelphia, PA, 2010-2021",,,,,,,,,,,,
,Ages 15-29 years old,,,Ages 30-44 years old,,,Ages 45-59 years old,,,Ages 60 years old and older,,
Year,"Age Specific Rate per 100,000 residents",N,Percent,"Age Specific Rate per 100,000 residents",N,Percent,"Age Specific Rate per 100,000 residents",N,Percent,"Age Specific Rate per 100,000 residents",N,Percent
2010,0,10,11.10%,0,19,21.10%,15.8,47,52.20%,0,14,15.60%
2011,0,11,11.00%,8.2,31,31.00%,14.6,44,44.00%,0,14,14.00%
2012,0,11,12.20%,0,11,12.20%,17.7,54,60.00%,0,14,15.60%
2013,0,12,11.70%,6.1,24,23.30%,17.1,51,49.50%,0,15,14.60%
2014,0,8,6.00%,10.1,38,28.60%,21.3,66,49.60%,7.1,21,15.80%
2015,0,14,9.90%,9.7,38,27.00%,21.7,65,46.10%,8,24,17.00%
2016,0,11,7.10%,8.3,30,19.40%,26,79,51.00%,10.9,35,22.60%
2017,0,13,9.20%,7.8,34,23.90%,22.8,67,47.20%,9.3,28,19.70%
2018,0,11,6.20%,10.3,41,23.20%,30.4,88,49.70%,11.4,37,20.90%
2019,0,16,8.60%,9.2,37,19.80%,28.1,82,43.90%,15.7,52,27.80%
2020,*,*,*,10.7,43,24.90%,29.1,82,47.40%,13.9,45,26.00%
2021,*,*,*,9.9,39,17.40%,37.2,109,48.70%,21.7,71,31.70%
