Year,State,County,Population,Model-based Death Rate,Standard Deviation,Lower Confidence Limit,Upper Confidence Limit
2017,Pennsylvania,"Union County, PA","44,744",8.99975,2.36190,5.50900,14.70404
2017,Pennsylvania,"Philadelphia County, PA","1,581,699",65.85459,2.02712,62.00109,69.94874
2017,Pennsylvania,"Allegheny County, PA","1,220,423",61.66900,2.22804,57.45652,66.19158
2017,Pennsylvania,"Cambria County, PA","133,035",59.62672,6.21101,48.69313,73.01893
2017,Pennsylvania,"Fayette County, PA","131,340",59.34732,6.23198,48.38691,72.79443
2017,Pennsylvania,"Lawrence County, PA","86,608",57.21885,7.26014,44.74937,73.16846
2017,Pennsylvania,"Westmoreland County, PA","352,152",56.61308,3.88477,49.51112,64.73597
2017,Pennsylvania,"Beaver County, PA","165,779",49.40288,5.07817,40.45046,60.34005
2017,Pennsylvania,"Delaware County, PA","564,015",49.18816,2.88575,43.85742,55.16850
2017,Pennsylvania,"Washington County, PA","207,152",48.30875,4.54677,40.21825,58.02970
2017,Pennsylvania,"Armstrong County, PA","66,042",46.51722,7.08513,34.68284,62.39614
2017,Pennsylvania,"Butler County, PA","187,083",46.49988,4.65703,38.26662,56.50777
2017,Pennsylvania,"Bucks County, PA","627,302",43.50776,2.57270,38.75763,48.84160
2017,Pennsylvania,"Luzerne County, PA","318,031",42.78665,3.50495,36.46836,50.20174
2017,Pennsylvania,"Indiana County, PA","84,809",42.44004,6.09955,32.15529,56.01993
2017,Pennsylvania,"Erie County, PA","273,855",39.07706,3.56946,32.70677,46.69051
2017,Pennsylvania,"Lackawanna County, PA","210,603",39.03274,4.00355,31.97306,47.65373
2017,Pennsylvania,"Northampton County, PA","303,178",38.01239,3.35910,31.99848,45.15884
2017,Pennsylvania,"Somerset County, PA","74,273",37.49094,5.92039,27.66331,50.81663
2017,Pennsylvania,"Carbon County, PA","63,885",36.91845,6.16054,26.79207,50.87701
2017,Pennsylvania,"Wyoming County, PA","27,409",35.45655,7.69633,23.49224,53.52135
2017,Pennsylvania,"Blair County, PA","123,173",34.95090,4.68566,26.96604,45.30394
2017,Pennsylvania,"Pike County, PA","55,492",34.77828,6.20573,24.70798,48.95961
2017,Pennsylvania,"Mercer County, PA","111,526",34.54748,4.82988,26.36814,45.26721
2017,Pennsylvania,"Bedford County, PA","48,359",32.30890,6.15923,22.44905,46.50778
2017,Pennsylvania,"Lehigh County, PA","365,772",31.25785,2.77129,26.29784,37.15520
2017,Pennsylvania,"Chester County, PA","519,057",31.01531,2.35207,26.74799,35.96499
2017,Pennsylvania,"Dauphin County, PA","275,796",30.40378,3.09285,24.94515,37.05914
2017,Pennsylvania,"Lancaster County, PA","541,352",30.31905,2.27887,26.18161,35.11185
2017,Pennsylvania,"York County, PA","445,924",30.30559,2.49050,25.81732,35.57577
2017,Pennsylvania,"Cumberland County, PA","249,328",30.10339,3.21514,24.45993,37.05151
2017,Pennsylvania,"Montour County, PA","18,255",30.03609,7.52161,18.77133,48.07225
2017,Pennsylvania,"Wayne County, PA","51,193",29.67104,5.68412,20.58000,42.78172
2017,Pennsylvania,"Greene County, PA","36,875",29.28546,6.13410,19.66650,43.60748
2017,Pennsylvania,"Northumberland County, PA","91,766",29.05028,4.65029,21.34904,39.53384
2017,Pennsylvania,"Perry County, PA","46,043",28.94773,5.80330,19.75915,42.41860
2017,Pennsylvania,"Berks County, PA","417,601",26.85952,2.40198,22.56403,31.97439
2017,Pennsylvania,"Montgomery County, PA","824,533",26.03892,1.72555,22.87661,29.63945
2017,Pennsylvania,"Schuylkill County, PA","142,550",25.56211,3.64616,19.40600,33.67185
2017,Pennsylvania,"Crawford County, PA","85,790",25.03306,4.30203,18.00002,34.81586
2017,Pennsylvania,"Elk County, PA","30,274",25.02430,5.78136,16.17637,38.71937
2017,Pennsylvania,"Susquehanna County, PA","40,939",24.82477,5.30318,16.54875,37.24341
2017,Pennsylvania,"Lycoming County, PA","114,146",24.30551,3.83982,17.93192,32.94850
2017,Pennsylvania,"Bradford County, PA","60,996",23.91699,4.65611,16.49695,34.68136
2017,Pennsylvania,"Mifflin County, PA","46,270",22.89846,4.86931,15.29193,34.29448
2017,Pennsylvania,"Monroe County, PA","168,033",22.89409,3.20072,17.47349,29.99763
2017,Pennsylvania,"Jefferson County, PA","43,829",22.61977,4.86270,15.04238,34.01696
2017,Pennsylvania,"Huntingdon County, PA","45,447",22.21966,4.77933,14.77465,33.42418
2017,Pennsylvania,"Venango County, PA","51,800",21.80068,4.51363,14.70377,32.32199
2017,Pennsylvania,"Columbia County, PA","65,638",20.93261,4.13000,14.36948,30.49725
2017,Pennsylvania,"Fulton County, PA","14,469",20.46212,5.67028,12.21453,34.27157
2017,Pennsylvania,"Tioga County, PA","40,729",19.65432,4.50482,12.74698,30.31412
2017,Pennsylvania,"Clarion County, PA","39,020",17.79286,4.17634,11.42694,27.70851
2017,Pennsylvania,"Sullivan County, PA","6,136",17.74433,5.82635,9.73876,32.33408
2017,Pennsylvania,"Franklin County, PA","154,731",17.68344,2.80483,13.03091,23.99962
2017,Pennsylvania,"Mc Kean County, PA","41,427",17.55957,4.04954,11.35781,27.14785
2017,Pennsylvania,"Potter County, PA","16,839",17.36465,4.88265,10.29760,29.28679
2017,Pennsylvania,"Clearfield County, PA","79,803",17.36254,3.40000,11.94947,25.22701
2017,Pennsylvania,"Adams County, PA","102,629",16.48237,3.05626,11.56084,23.50123
2017,Pennsylvania,"Forest County, PA","7,328",15.13279,4.99977,8.27816,27.66526
2017,Pennsylvania,"Cameron County, PA","4,611",15.01822,5.30546,7.92415,28.46579
2017,Pennsylvania,"Lebanon County, PA","139,473",14.06955,2.49324,10.01793,19.76168
2017,Pennsylvania,"Warren County, PA","39,682",13.89112,3.41388,8.75092,22.05279
2017,Pennsylvania,"Clinton County, PA","38,830",13.76083,3.38998,8.65886,21.86703
2017,Pennsylvania,"Snyder County, PA","40,621",11.65628,2.96986,7.22972,18.79626
2017,Pennsylvania,"Juniata County, PA","24,628",11.33727,3.20957,6.70097,19.18178
2017,Pennsylvania,"Centre County, PA","162,549",10.38608,1.92534,7.28550,14.80754
